Date,Close,compound,negative,neutral,positive,Open,High,Low,Volume,Subjectivity,Polarity
2015-02-25,79.56,0.9951,0.123,0.719,0.158,78.5,80.2,78.5,25546020,0.4065353340353341,0.11583801333801334
2015-02-26,80.41,0.9639,0.061,0.859,0.08,79.88,81.37,79.72,30980750,0.5361986094713366,0.06378368096549915
2015-02-27,78.97,-0.8812,0.106,0.792,0.102,80.68,81.23,78.62,30705140,0.5163249684343432,0.20049558080808083
2015-03-02,79.75,0.9137,0.061,0.851,0.087,79.0,79.855,78.52,21645890,0.3814171122994653,0.10138941940412527
2015-03-03,79.6,0.8634,0.059,0.877,0.064,79.61,79.7,78.52,18602170,0.3330011655011654,0.10661616161616164
2015-03-04,80.895,0.9835,0.051,0.84,0.109,79.3,81.15,78.85,28057010,0.4975589225589226,0.147334455667789
2015-03-05,81.21,-0.0772,0.035,0.937,0.028,81.23,81.99,81.05,27792840,0.29583333333333334,0.06249999999999999
2015-03-06,80.005,0.9141,0.059,0.884,0.057,80.9,81.33,79.83,24457940,0.4709644522144521,0.08685897435897437
2015-03-09,79.44,0.9953,0.024,0.857,0.119,79.68,79.91,78.63,18908230,0.3924242424242424,0.1255546536796537
2015-03-10,77.55,0.7096,0.095,0.745,0.161,78.5,79.26,77.55,22965310,0.5594805194805195,-0.08987012987012986
2015-03-11,77.57,0.963,0.064,0.842,0.094,77.8,78.43,77.26,20141490,0.42469137184654426,0.11044353634870877
2015-03-12,78.93,0.996,0.054,0.784,0.162,78.1,79.05,77.91,16069270,0.4559141414141414,0.16255387205387203
2015-03-13,78.05,0.9634,0.066,0.847,0.086,78.6,79.38,77.68,18481750,0.4516396845163969,0.15824685208246855
2015-03-16,78.07,0.9891,0.071,0.814,0.115,77.96,78.12,77.36,19289450,0.4008508732646663,0.17558031049410364
2015-03-17,79.365,0.9929,0.046,0.865,0.088,78.36,79.78,78.34,22105760,0.40866137566137556,0.14461712361712362
2015-03-18,80.91,0.9921,0.049,0.848,0.103,79.25,81.24,79.17,36732660,0.399213564213564,0.15480409686931426
2015-03-19,82.75,0.9584,0.062,0.854,0.084,81.12,83.0,81.0,42047570,0.4148253785595557,0.04325246132208158
2015-03-20,83.8,0.9771,0.046,0.84,0.114,83.39,84.6,83.07,44405260,0.466919191919192,0.10984848484848482
2015-03-23,84.43,0.9964,0.045,0.837,0.117,83.92,84.96,83.3,27291310,0.46848935786435775,0.17021078128220982
2015-03-24,85.31,0.9835,0.05,0.853,0.097,84.71,86.0699,84.52,32507390,0.407435126079194,0.028956392007239467
2015-03-25,82.92,0.9934,0.028,0.868,0.104,85.5,85.52,82.92,37348640,0.47746046470536263,0.10614011838501637
2015-03-26,83.01,0.9936,0.049,0.838,0.113,82.72,83.77,82.14,32754510,0.5114743494053837,0.14950552321241983
2015-03-27,83.3,0.9951,0.054,0.813,0.133,83.38,83.95,82.88,18313110,0.43566898218061006,0.10982583308164702
